cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
13.5,3.42,40.82627868652344,-73.90558624267578,1,40.79081344604492,-73.93920135498047,0,2,2,1,27,21,9,20,2,1,27,21,24,0
27.0,6.57,40.75715255737305,-73.93574523925781,1,40.68547821044922,-73.9471435546875,0,2,2,1,27,6,31,55,2,1,27,7,6,28
21.5,7.4,40.65130615234375,-73.97982025146484,1,40.71403503417969,-73.9559097290039,0,1,2,1,20,23,40,11,2,1,20,23,51,46
13.0,2.78,40.78090286254883,-73.9569320678711,2,40.8086166381836,-73.96597290039062,0,2,3,1,7,10,10,37,3,1,7,10,26,26
6.5,1.6,40.80547332763672,-73.94995880126953,1,40.7885856628418,-73.95325469970703,0,2,5,1,2,20,49,50,5,1,2,20,54,30
9.5,1.78,40.67889404296875,-73.98686981201172,1,40.66327667236328,-73.98467254638672,0,2,5,1,9,21,36,48,5,1,9,21,47,44
6.0,0.97,40.7948112487793,-73.94450378417969,1,40.79841613769531,-73.95282745361328,0,2,4,1,22,18,57,36,4,1,22,19,3,36
7.0,1.5,40.595401763916016,-73.93515014648438,1,40.5871696472168,-73.95414733886719,0,1,3,1,7,12,7,55,3,1,7,12,15,22
8.0,1.5,40.80854797363281,-73.95130920410156,1,40.82195663452149,-73.93572998046875,0,1,4,1,1,0,43,15,4,1,1,0,52,15
8.5,1.29,40.76032257080078,-73.92195892333984,1,40.77446746826172,-73.91263580322266,0,2,5,1,2,23,45,50,5,1,2,23,56,41
13.5,2.7,40.70232009887695,-73.8763427734375,1,40.73504638671875,-73.87421417236328,0,1,2,1,27,19,44,28,2,1,27,20,1,47
4.5,0.55,40.756343841552734,-73.92115020751953,1,40.763816833496094,-73.91510009765625,0,2,0,1,25,20,0,5,0,1,25,20,4,15
7.0,1.32,40.76045608520508,-73.91443634033203,1,40.773921966552734,-73.90750885009766,0,2,4,1,8,20,22,11,4,1,8,20,30,59
4.0,0.62,40.73464584350586,-73.95500946044922,1,40.730377197265625,-73.95433807373047,0,2,4,1,8,19,51,38,4,1,8,19,55,7
7.5,1.17,40.720947265625,-73.9571304321289,1,40.7159538269043,-73.95972442626953,0,2,4,1,1,22,21,13,4,1,1,22,31,7
8.5,2.08,40.69848251342773,-73.94133758544922,3,40.69636154174805,-73.97664642333984,0,2,1,1,12,19,48,41,1,1,12,19,55,5
11.0,2.7,40.8260612487793,-73.94969940185547,1,40.85089874267578,-73.93203735351562,0,1,4,1,29,11,6,29,4,1,29,11,18,10
10.0,2.25,40.84292984008789,-73.88619995117188,1,40.866580963134766,-73.89421844482422,0,2,4,1,22,17,32,40,4,1,22,17,46,59
18.5,5.11,40.71327209472656,-73.8288345336914,1,40.745792388916016,-73.90695190429688,0,2,0,1,4,10,54,22,0,1,4,11,13,6
5.0,0.78,40.74251937866211,-73.89563751220703,1,40.74700927734375,-73.8900146484375,0,2,3,1,7,16,46,50,3,1,7,16,51,46
26.0,6.13,40.697532653808594,-73.83353424072266,1,40.74663925170898,-73.89350128173828,0,2,4,1,29,19,19,56,4,1,29,19,56,37
20.0,5.77,40.84245681762695,-73.89451599121094,3,40.79650115966797,-73.93875885009766,0,2,4,1,1,0,43,18,4,1,1,1,4,3
4.0,0.67,40.719520568847656,-73.84514617919922,1,40.71083831787109,-73.85063171386719,0,2,4,1,22,9,4,9,4,1,22,9,6,16
7.5,1.59,40.83454132080078,-73.92536163330078,1,40.82031631469727,-73.93618774414062,0,2,0,1,4,22,45,57,0,1,4,22,53,4
17.5,4.2,40.71489715576172,-73.95184326171875,2,40.743160247802734,-73.91714477539062,0,1,4,1,22,20,13,12,4,1,22,20,32,56
12.0,3.2,40.71122360229492,-74.00548553466797,1,40.69356155395508,-73.96611785888672,0,2,2,1,27,3,27,16,2,1,27,3,38,12
5.0,0.79,40.705596923828125,-73.94295501708984,1,40.71139144897461,-73.94733428955078,0,2,2,1,20,22,26,7,2,1,20,22,30,17
5.0,0.91,40.73667526245117,-73.95523834228516,1,40.72408676147461,-73.95095825195312,0,2,2,1,13,1,33,27,2,1,13,1,37,1
8.0,1.28,40.79517364501953,-73.96593475341797,5,40.79656219482422,-73.94917297363281,0,2,1,1,12,10,22,59,1,1,12,10,32,25
15.5,3.91,40.68461227416992,-73.79993438720703,1,40.72153091430664,-73.84427642822266,0,2,1,1,19,18,17,50,1,1,19,18,37,33
20.0,6.58,40.753814697265625,-73.83277893066406,1,40.74335479736328,-73.92225646972656,0,2,4,1,29,23,32,57,4,1,29,23,48,29
6.5,1.5,40.72232437133789,-73.94673919677734,1,40.7430305480957,-73.95148468017578,0,2,6,1,10,22,39,54,6,1,10,22,44,31
4.5,0.47,40.793548583984375,-73.94942474365234,1,40.79807662963867,-73.95209503173828,0,2,1,1,12,9,32,8,1,1,12,9,36,28
22.0,6.21,40.678035736083984,-74.00169372558594,1,40.69097137451172,-73.92894744873047,0,2,4,1,1,0,42,24,4,1,1,1,8,8
13.5,2.9,40.66389846801758,-73.91075134277344,1,40.653587341308594,-73.87206268310547,0,1,1,1,19,20,9,26,1,1,19,20,31,15
13.0,2.5,40.693115234375,-73.96943664550781,3,40.69547271728516,-73.96930694580078,0,1,2,1,20,14,11,1,2,1,20,14,28,23
10.0,0.12,40.851318359375,-73.9172592163086,1,40.85008239746094,-73.91903686523438,0,2,2,1,13,23,56,33,2,1,13,23,56,37
10.5,2.1,40.71891021728516,-73.84168243408203,1,40.74604034423828,-73.8563461303711,0,2,4,1,22,10,25,43,4,1,22,10,37,50
5.0,0.71,40.71687698364258,-73.94313049316406,5,40.71492385864258,-73.95166778564453,0,2,3,1,14,21,40,29,3,1,14,21,44,33
4.0,0.7,40.78734588623047,-73.9561538696289,1,40.79612350463867,-73.94973754882812,0,1,1,1,19,20,33,44,1,1,19,20,35,38
5.5,1.13,40.77295684814453,-73.8966064453125,1,40.77537536621094,-73.91207885742188,0,2,3,1,21,8,58,12,3,1,21,9,2,28
12.5,2.99,40.77376556396485,-73.98760986328125,1,40.787071228027344,-73.95365142822266,0,2,1,1,19,17,13,28,1,1,19,17,29,11
4.5,0.8,40.667236328125,-73.98150634765625,1,40.6763801574707,-73.98068237304688,1,1,5,1,2,2,21,45,5,1,2,2,24,12
10.0,1.98,40.78263092041016,-73.98088073730469,1,40.80796813964844,-73.96411895751953,0,2,2,1,27,19,24,26,2,1,27,19,35,27
26.0,8.72,40.7095947265625,-73.96366119384766,1,40.78976440429688,-73.9544448852539,0,2,6,1,3,20,25,35,6,1,3,20,46,12
11.0,2.85,40.66718673706055,-73.79900360107422,1,40.70096969604492,-73.80670166015625,0,2,4,1,22,16,31,31,4,1,22,16,42,7
16.5,3.8,40.7219123840332,-73.85304260253906,1,40.74531555175781,-73.90458679199219,1,1,6,1,3,1,53,31,6,1,3,2,13,49
11.5,2.74,40.75398254394531,-73.8869857788086,6,40.76826858520508,-73.92434692382812,0,2,1,1,12,14,18,33,1,1,12,14,30,42
26.5,7.58,40.76847839355469,-73.98658752441406,1,40.855953216552734,-73.93301391601562,0,2,4,1,22,18,49,23,4,1,22,19,15,0
15.0,3.44,40.71623611450195,-74.00267028808594,1,40.687767028808594,-73.9801254272461,0,2,4,1,8,9,27,16,4,1,8,9,46,23
30.5,9.43,40.64177322387695,-73.96357727050781,1,40.72163009643555,-73.95817565917969,0,2,5,1,9,4,48,19,5,1,9,5,13,44
6.0,1.2,40.74533462524414,-73.921142578125,5,40.74586868286133,-73.9033432006836,0,2,2,1,27,22,39,28,2,1,27,22,44,55
5.0,0.85,40.67416763305664,-73.9725341796875,1,40.6822624206543,-73.97655487060547,0,2,1,1,26,16,34,7,1,1,26,16,38,4
10.0,1.48,40.810638427734375,-73.96231842041016,1,40.7971305847168,-73.94928741455078,0,2,1,1,26,10,36,18,1,1,26,10,49,56
5.0,0.7,40.58353805541992,-73.95709991455078,1,40.58731842041016,-73.9538803100586,0,1,1,1,12,17,43,41,1,1,12,17,48,54
8.5,1.56,40.81476211547852,-73.94412994384766,5,40.798736572265625,-73.94174194335938,0,2,5,1,2,13,53,52,5,1,2,14,2,58
6.5,1.1,40.696136474609375,-73.99620819091797,1,40.69140625,-73.98994445800781,0,2,4,1,29,19,34,40,4,1,29,19,41,42
10.5,1.77,40.752098083496094,-73.90349578857422,2,40.74659729003906,-73.89142608642578,0,2,0,1,11,22,17,53,0,1,11,22,31,22
3.0,0.1,40.76585006713867,-73.91929626464844,1,40.76680374145508,-73.92121124267578,0,1,6,1,24,23,49,56,6,1,24,23,51,2
7.0,1.52,40.692081451416016,-73.94278717041016,5,40.69327545166016,-73.96586608886719,0,2,4,1,8,19,41,54,4,1,8,19,49,0
17.0,3.58,40.69590377807617,-73.97478485107422,1,40.69343185424805,-73.97615814208984,0,2,3,1,14,7,38,49,3,1,14,8,2,21
5.0,0.63,40.71248626708984,-73.96235656738281,2,40.71892547607422,-73.96112823486328,0,2,1,1,5,12,59,14,1,1,5,13,3,48
5.5,0.5,40.83217239379883,-73.9427261352539,2,40.83660507202149,-73.9429702758789,0,1,3,1,28,14,3,49,3,1,28,14,9,43
17.0,3.64,40.71644973754883,-73.95936584472656,1,40.71474075317383,-73.9432144165039,0,2,6,1,3,2,49,51,6,1,3,3,12,38
10.0,2.07,40.78304672241211,-73.98027038574219,1,40.80609130859375,-73.96153259277344,0,2,3,1,7,17,47,25,3,1,7,17,58,12
28.5,9.52,40.70486831665039,-73.94446563720703,1,40.75805282592773,-73.91970825195312,0,2,6,1,10,5,29,22,6,1,10,5,53,41
16.0,3.84,40.67288589477539,-73.83352661132812,1,40.70585632324219,-73.80976104736328,0,2,4,1,29,12,56,47,4,1,29,13,15,58
62.5,10.56,40.67996597290039,-73.94194793701172,1,40.57874298095703,-74.00019073486328,0,2,3,1,28,16,7,0,3,1,28,17,44,46
7.0,0.74,40.68610763549805,-73.9825439453125,1,40.6939582824707,-73.98727416992188,0,2,2,1,27,14,25,54,2,1,27,14,35,14
5.5,1.11,40.72325134277344,-73.85798645019531,1,40.71962356567383,-73.83930206298828,0,2,1,1,5,9,7,16,1,1,5,9,12,1
8.0,1.3,40.7498893737793,-73.86295318603516,1,40.76245880126953,-73.87525177001953,0,1,0,1,4,14,45,13,0,1,4,14,54,56
9.5,1.84,40.8045654296875,-73.95526123046875,1,40.787353515625,-73.94157409667969,0,2,3,1,21,11,21,52,3,1,21,11,33,32
10.5,2.0,40.80645751953125,-73.965087890625,1,40.79084014892578,-73.95394134521484,0,2,4,1,15,12,0,27,4,1,15,12,12,58
10.5,2.3,40.72085189819336,-73.90293884277344,1,40.74813461303711,-73.89490509033203,0,1,3,1,14,21,20,28,3,1,14,21,32,4
9.0,2.17,40.83302307128906,-73.94070434570312,1,40.80450820922852,-73.95557403564453,0,2,5,1,9,22,44,57,5,1,9,22,53,26
8.0,1.27,40.701541900634766,-73.986572265625,1,40.69420623779297,-73.97002410888672,0,2,0,1,25,8,39,29,0,1,25,8,49,13
9.0,1.64,40.72664642333984,-73.8954849243164,1,40.74602127075195,-73.90108489990234,0,2,4,1,15,7,23,50,4,1,15,7,33,39
6.0,0.71,40.81467056274414,-73.94585418701172,1,40.82119369506836,-73.94625854492188,0,2,0,1,25,16,30,47,0,1,25,16,37,40
7.0,0.9,40.78741455078125,-73.9425277709961,1,40.788482666015625,-73.95340728759766,0,1,4,1,29,14,31,59,4,1,29,14,41,7
5.5,0.7,40.81073760986328,-73.94322204589844,1,40.80093383789063,-73.9469223022461,0,2,2,1,6,16,52,6,2,1,6,16,56,50
7.5,1.49,40.85753631591797,-73.88282775878906,1,40.8401985168457,-73.87962341308594,0,2,3,1,28,23,52,50,4,1,29,0,0,24
10.0,1.64,40.79509353637695,-73.96598052978516,1,40.81061172485352,-73.95276641845703,0,2,6,1,24,11,20,43,6,1,24,11,34,21
17.0,2.63,40.761962890625,-73.96334075927734,1,40.78990936279297,-73.9522705078125,0,2,1,1,26,19,37,20,1,1,26,20,2,47
27.0,7.32,40.702674865722656,-73.92926025390625,1,40.71985626220703,-73.83975982666016,0,2,4,1,29,15,26,50,4,1,29,15,58,31
10.0,2.8,40.80207824707031,-73.96550750732422,1,40.83339309692383,-73.9455337524414,0,1,0,1,18,8,25,51,0,1,18,8,33,24
6.0,1.0,40.72618865966797,-73.9389419555664,2,40.71902084350586,-73.94513702392578,0,1,4,1,15,18,14,28,4,1,15,18,20,32
4.0,0.51,40.80399703979492,-73.94810485839844,1,40.798622131347656,-73.94141387939453,0,2,6,1,17,9,0,33,6,1,17,9,2,31
18.0,4.26,40.68825149536133,-73.93274688720703,1,40.66944885253906,-73.97953033447266,0,2,1,1,19,12,18,58,1,1,19,12,42,36
4.5,0.54,40.83845520019531,-73.91320037841797,1,40.832481384277344,-73.9193344116211,0,2,3,1,14,17,38,2,3,1,14,17,41,33
3.0,0.25,40.74734115600586,-73.87454986572266,1,40.74905014038086,-73.87283325195312,0,2,4,1,1,0,11,10,4,1,1,0,13,21
7.0,1.3,40.66849136352539,-73.9869613647461,1,40.68387222290039,-73.97881317138672,0,2,4,1,15,0,50,15,4,1,15,0,56,41
11.5,1.87,40.68202590942383,-73.96453857421875,1,40.67545318603516,-73.98859405517578,0,2,4,1,22,12,42,44,4,1,22,12,59,0
16.0,3.99,40.73214340209961,-73.99588012695312,1,40.68659210205078,-73.9905014038086,0,2,4,1,1,19,14,23,4,1,1,19,32,23
11.5,2.25,40.677040100097656,-74.01536560058594,5,40.67918014526367,-73.9956283569336,0,2,5,1,2,16,59,32,5,1,2,17,14,2
5.0,0.76,40.6628532409668,-73.94196319580078,2,40.65568542480469,-73.94686126708984,0,2,1,1,12,17,34,31,1,1,12,17,38,35
33.0,8.43,40.85220336914063,-73.83924102783203,1,40.80768203735352,-73.92692565917969,0,2,3,1,28,14,48,18,3,1,28,15,28,30
6.0,0.87,40.81657028198242,-73.92312622070312,1,40.80763626098633,-73.91930389404297,0,2,4,1,8,17,47,10,4,1,8,17,53,9
18.5,3.45,40.71831893920898,-73.99103546142578,5,40.72777557373047,-73.95890045166016,0,2,5,1,30,12,12,57,5,1,30,12,40,48
3.5,0.47,40.674346923828125,-73.95365905761719,1,40.67085647583008,-73.95785522460938,0,2,5,1,30,0,43,0,5,1,30,0,45,14
8.5,2.01,40.7264404296875,-73.8935546875,1,40.7337760925293,-73.86914825439453,0,2,2,1,6,14,7,5,2,1,6,14,13,52
19.0,5.3,40.78338623046875,-73.98271942138672,1,40.84199142456055,-73.94222259521484,0,2,2,1,13,8,40,48,2,1,13,9,0,42
19.5,3.2,40.68922424316406,-73.9444351196289,1,40.71719741821289,-73.95845794677734,0,1,4,1,29,14,20,7,4,1,29,14,51,4
12.0,3.35,40.825931549072266,-73.94100189208984,5,40.79338836669922,-73.9404296875,0,2,5,1,2,2,37,32,5,1,2,2,48,42
28.5,9.65,40.71333312988281,-73.99060821533203,1,40.81442642211914,-73.9444580078125,0,2,6,1,10,1,1,28,6,1,10,1,19,40
13.5,2.87,40.8046760559082,-73.9415054321289,1,40.79636764526367,-73.93830108642578,0,2,0,1,11,14,41,58,0,1,11,15,0,23
3.0,0.29,40.81575012207031,-73.93682861328125,1,40.81467819213867,-73.94036102294922,0,2,0,1,25,19,48,48,0,1,25,19,50,19
18.0,4.36,40.7619743347168,-73.9221420288086,1,40.722286224365234,-73.95752716064453,0,2,6,1,17,4,44,3,6,1,17,5,4,44
7.0,0.9,40.75749969482422,-73.88288116455078,1,40.74760055541992,-73.8834228515625,0,1,0,1,18,3,26,21,0,1,18,3,34,7
27.0,8.3,40.7518424987793,-73.98052215576172,1,40.8407096862793,-73.94022369384766,0,1,2,1,6,17,34,45,2,1,6,18,2,21
4.5,0.53,40.808555603027344,-73.95965576171875,1,40.804805755615234,-73.96602630615234,0,2,2,1,20,0,29,43,2,1,20,0,32,49
5.5,1.04,40.702125549316406,-73.84022521972656,1,40.71358871459961,-73.83036804199219,0,2,5,1,23,0,23,44,5,1,23,0,28,2
5.0,0.78,40.81573486328125,-73.93871307373047,1,40.80586624145508,-73.9405288696289,0,2,5,1,2,18,44,56,5,1,2,18,49,2
6.0,0.94,40.75669479370117,-73.944580078125,1,40.755165100097656,-73.93094635009766,0,2,3,1,28,23,14,0,3,1,28,23,20,7
17.5,5.01,40.79055404663086,-73.9655532836914,1,40.840599060058594,-73.9403305053711,0,2,4,1,22,23,46,7,5,1,23,0,1,4
9.0,1.89,40.8127555847168,-73.90312194824219,1,40.82059097290039,-73.9366455078125,0,2,4,1,22,21,57,32,4,1,22,22,6,48
31.5,4.44,40.76104736328125,-73.83248138427734,1,40.746429443359375,-73.89085388183594,0,2,0,1,25,14,51,20,0,1,25,15,46,3
9.0,1.83,40.68519592285156,-73.92320251464844,1,40.699462890625,-73.94149017333984,0,2,4,1,15,9,18,27,5,1,16,8,40,35
7.5,1.69,40.80209732055664,-73.95336151123047,1,40.825103759765625,-73.94775390625,0,2,6,1,10,18,11,9,6,1,10,18,17,55
20.0,6.15,40.72557830810547,-73.86329650878906,1,40.71932601928711,-73.95821380615234,0,2,5,1,9,22,39,18,5,1,9,22,56,6
8.5,1.98,40.69057083129883,-73.95832824707031,1,40.66559219360352,-73.9540023803711,0,2,5,1,16,23,58,34,6,1,17,0,6,44
10.5,2.16,40.8256721496582,-73.95269775390625,1,40.80259323120117,-73.95501708984375,0,2,4,1,15,17,36,24,4,1,15,17,49,20
27.0,6.67,40.76501083374024,-73.96125793457031,1,40.73052597045898,-73.86172485351562,0,2,1,1,12,14,50,2,1,1,12,15,24,29
26.5,8.4,40.65576171875,-74.0086441040039,1,40.679954528808594,-73.94078063964844,0,1,6,1,3,14,15,31,6,1,3,14,37,53
15.5,3.8,40.74937057495117,-73.97476959228516,1,40.720191955566406,-73.95976257324219,0,1,1,1,26,14,59,5,1,1,26,15,16,33
6.0,1.18,40.7902946472168,-73.9458999633789,1,40.80338668823242,-73.94879913330078,0,2,2,1,13,12,20,42,2,1,13,12,26,59
5.0,0.65,40.70729064941406,-73.83638763427734,1,40.71354293823242,-73.83032989501953,0,2,4,1,29,20,41,45,4,1,29,20,46,50
6.5,0.85,40.759033203125,-73.88695526123047,1,40.74761581420898,-73.88542938232422,0,2,3,1,21,18,26,39,3,1,21,18,34,32
24.0,7.79,40.77418899536133,-73.87345123291016,3,40.7467041015625,-73.94393920898438,0,2,4,1,29,12,19,12,4,1,29,12,37,24
16.0,4.01,40.77719879150391,-73.90074920654297,2,40.749168395996094,-73.86941528320312,0,2,5,1,23,2,30,47,5,1,23,2,52,25
15.0,3.37,40.70053482055664,-73.919189453125,2,40.718841552734375,-73.95452880859375,0,2,5,1,16,18,2,30,5,1,16,18,22,28
5.0,0.65,40.68000411987305,-73.94308471679688,1,40.68106842041016,-73.95547485351562,0,2,4,1,15,23,22,6,4,1,15,23,25,56
6.5,0.79,40.7598762512207,-73.91830444335938,1,40.76833724975586,-73.92448425292969,0,2,0,1,25,16,1,9,0,1,25,16,8,58
9.5,1.84,40.80929183959961,-73.94891357421875,1,40.82887268066406,-73.94859313964844,0,2,3,1,7,13,38,19,3,1,7,13,48,34
10.0,2.68,40.77152633666992,-73.9566879272461,1,40.8050651550293,-73.93907165527344,0,2,5,1,30,0,7,24,5,1,30,0,16,43
20.5,5.94,40.72578430175781,-73.98403930664062,1,40.75879669189453,-73.91870880126953,0,2,5,1,2,18,55,2,5,1,2,19,20,2
6.5,0.85,40.71383285522461,-73.96178436279297,1,40.71709442138672,-73.95004272460938,0,2,5,1,2,21,50,8,5,1,2,21,57,36
12.0,2.85,40.80099868774414,-73.93718719482422,1,40.81903076171875,-73.91654968261719,0,2,5,1,9,6,51,4,5,1,9,7,3,23
6.0,1.03,40.80495071411133,-73.93914031982422,1,40.80585861206055,-73.9544448852539,0,2,6,1,17,10,23,33,6,1,17,10,29,49
5.5,0.7,40.85299682617188,-73.93266296386719,1,40.84468460083008,-73.93885803222656,0,1,0,1,25,10,1,4,0,1,25,10,6,47
6.0,1.0,40.681678771972656,-73.98979949951172,1,40.69038772583008,-73.99439239501953,0,1,3,1,21,19,39,54,3,1,21,19,46,2
6.5,1.1,40.80686569213867,-73.94122314453125,1,40.80596923828125,-73.95428466796875,0,1,1,1,5,21,40,29,1,1,5,21,47,13
7.5,1.53,40.71526336669922,-73.96022033691406,1,40.73357772827149,-73.95491027832031,0,2,5,1,9,10,39,7,5,1,9,10,46,14
22.0,6.8,40.77011489868164,-73.98048400878906,1,40.85100555419922,-73.93853759765625,0,1,6,1,24,12,49,56,6,1,24,13,9,14
5.5,0.9,40.70497894287109,-73.80122375488281,1,40.70045471191406,-73.80777740478516,0,1,2,1,13,20,35,0,2,1,13,20,39,59
4.5,0.47,40.82022476196289,-73.95539855957031,1,40.8260498046875,-73.95092010498047,0,2,2,1,13,17,33,40,2,1,13,17,37,33
20.0,0.12,40.71482849121094,-73.95674896240234,1,40.71610641479492,-73.95541381835938,0,2,4,1,1,3,36,43,4,1,1,3,36,48
12.0,2.9,40.69734191894531,-73.93603515625,1,40.6775016784668,-73.9591293334961,0,1,4,1,1,0,36,39,4,1,1,0,50,32
8.0,2.41,40.83837890625,-73.91685485839844,1,40.82335662841797,-73.91629791259766,0,2,6,1,10,22,44,29,6,1,10,22,55,53
26.5,7.97,40.6877555847168,-73.95014190673828,1,40.75307083129883,-73.91173553466797,0,2,5,1,9,22,21,40,5,1,9,22,45,16
31.0,9.9,40.75252914428711,-73.97840881347656,2,40.865264892578125,-73.93091583251953,0,1,1,1,5,14,48,58,1,1,5,15,14,47
7.0,1.2,40.73931121826172,-73.88948059082031,2,40.73432159423828,-73.8690185546875,0,1,2,1,6,19,48,43,2,1,6,19,55,55
4.5,0.6,40.814430236816406,-73.94041442871094,1,40.81041717529297,-73.94691467285156,0,1,1,1,5,8,4,7,1,1,5,8,7,53
6.5,0.75,40.7177963256836,-73.83406829833984,1,40.71950912475586,-73.84518432617188,0,2,1,1,5,18,11,36,1,1,5,18,19,52
13.5,2.79,40.74496841430664,-73.93512725830078,6,40.74766159057617,-73.8836669921875,0,2,0,1,11,12,29,5,0,1,11,12,46,38
6.5,1.47,40.67681121826172,-73.94889831542969,1,40.68599319458008,-73.9332504272461,0,2,2,1,13,23,40,34,2,1,13,23,46,26
5.0,0.77,40.75303649902344,-73.90633392333984,1,40.745723724365234,-73.9033432006836,0,2,4,1,1,1,50,45,4,1,1,1,55,30
7.0,1.52,40.786895751953125,-73.95024871826172,1,40.80526351928711,-73.93904876708984,0,2,4,1,1,20,37,3,4,1,1,20,42,53
4.5,0.88,40.71638488769531,-73.96379852294922,1,40.71020126342773,-73.96216583251953,0,2,4,1,8,14,46,42,4,1,8,14,49,25
7.0,1.5,40.78955078125,-73.95246887207031,1,40.802711486816406,-73.93726348876953,0,1,5,1,16,12,4,53,5,1,16,12,11,46
21.5,7.2,40.77352142333984,-73.9490966796875,1,40.702484130859375,-73.9878158569336,0,1,0,1,25,2,50,30,0,1,25,3,5,36
12.5,2.57,40.854148864746094,-73.91191864013672,1,40.83595275878906,-73.9433364868164,0,2,2,1,20,16,27,56,2,1,20,16,43,27
14.0,2.77,40.84161758422852,-73.93911743164062,1,40.80934143066406,-73.9480209350586,0,2,4,1,8,14,11,10,4,1,8,14,30,2
9.5,1.8,40.84070587158203,-73.94029998779297,1,40.827972412109375,-73.92566680908203,0,1,2,1,13,22,51,9,2,1,13,23,1,44
12.0,2.5,40.71452331542969,-73.95767211914062,1,40.691776275634766,-73.96744537353516,0,1,0,1,4,18,24,49,0,1,4,18,40,52
6.5,1.2,40.69416427612305,-73.9238052368164,3,40.7064323425293,-73.9229965209961,0,1,3,1,21,3,59,25,3,1,21,4,5,54
